[0.220] @(260, 620) aa
[0.520] @(789, 648) —
[0.020] @(97, 679) Weight
[0.840] @(505, 678) 7
[0.570] @(530, 668) re
[0.210] @(93, 716) SMM
[0.160] @(238, 703) =
[0.210] @(321, 709) ®
[0.550] @(418, 705) 100
[0.100] @(520, 704) Be
[0.620] @(579, 708) io
[0.610] @(632, 708) 0
[0.320] @(692, 709) 8
[0.140] @(746, 713) agp
[0.350] @(787, 709) a0
[0.400] @(141, 745) Hho
[0.030] @(188, 746) _
[0.130] @(246, 719) ET
[0.730] @(508, 739) 5
[0.230] @(163, 763) es
[0.330] @(319, 758) 5
[0.360] @(349, 758) es
[0.220] @(526, 755) eh
[0.340] @(579, 753) a
[0.290] @(788, 753) ae
[0.740] @(88, 758) Body
[0.020] @(132, 762) Fats
[0.930] @(204, 783) (
[0.210] @(185, 747) a
[0.700] @(520, 778) 18.
[0.700] @(555, 778) 0
[0.420] @(677, 800) |
[0.960] @(82, 881) Obesity
[0.950] @(179, 877) Analysis
[0.190] @(234, 893) ee
[0.110] @(378, 897) ach
[0.310] @(263, 950) Jo
[0.340] @(312, 941) 120
[0.130] @(367, 939) 48s
[0.540] @(418, 939) 20
[0.470] @(473, 934) 2.0
[0.820] @(530, 940) 900
[0.760] @(583, 940) 98.0
[0.700] @(637, 938) 40.0)
[0.390] @(689, 939) a0
[0.610] @(743, 938) S60
[0.530] @(797, 935) 550
[0.310] @(82, 953) een
[0.320] @(203, 963) ws
[0.180] @(219, 959) |
[0.950] @(506, 956) 25.8
[0.150] @(158, 993) SS
[0.320] @(336, 989) ae
[0.150] @(525, 962) a
[0.210] @(566, 985) a
[0.590] @(79, 1007) PBF
[0.240] @(242, 1002) gS
[0.870] @(536, 1010) 23.3
