[0.310] @(263, 950) Jo
[0.340] @(312, 941) 120
[0.130] @(367, 939) 48s
[0.540] @(418, 939) 20
[0.470] @(473, 934) 2.0
[0.820] @(530, 940) 900
[0.760] @(583, 940) 98.0
[0.700] @(637, 938) 40.0)
[0.390] @(689, 939) a0
[0.610] @(743, 938) S60
[0.310] @(82, 953) een
[0.320] @(203, 963) ws
[0.180] @(219, 959) |
[0.950] @(506, 956) 25.8
[0.150] @(158, 993) SS
[0.320] @(336, 989) ae
[0.150] @(525, 962) a
[0.210] @(566, 985) a
[0.590] @(79, 1007) PBF
[0.240] @(242, 1002) gS
[0.870] @(536, 1010) 23.3
[0.920] @(383, 1073) Lean
[0.960] @(419, 1074) Mass
[0.370] @(382, 1087) Eaton
[0.960] @(70, 1134) Segmental
[0.950] @(213, 1133) Lean
[0.950] @(283, 1128) Analysis
[0.960] @(491, 1122) Segmental
[0.960] @(630, 1122) Fat
[0.730] @(679, 1118) Analysis
[0.560] @(794, 1151) _
[0.320] @(572, 1158) re
