fdc_id,name,calories,protein,carbs,fats,source
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",307.0,5.9,41.2,13.2,sr_legacy
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",330.0,4.3,53.4,11.3,sr_legacy
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",377.0,6.1,79.8,3.7,sr_legacy
167515,"George Weston Bakeries, Thomas English Muffins",232.0,8.0,46.0,1.8,sr_legacy
167516,"Waffles, buttermilk, frozen, ready-to-heat",273.0,6.6,41.0,9.2,sr_legacy
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",309.0,7.4,48.4,9.5,sr_legacy
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",289.0,6.9,44.2,9.4,sr_legacy
167519,"Waffle, plain, frozen, ready-to-heat, microwave",298.0,6.7,45.4,9.9,sr_legacy
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",501.0,5.1,64.3,24.8,sr_legacy
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",484.0,6.1,64.5,22.4,sr_legacy
167522,"Pie, Dutch Apple, Commercially Prepared",290.0,2.2,44.5,11.5,sr_legacy
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",468.0,5.5,46.8,28.7,sr_legacy
167524,"Waffles, chocolate chip, frozen, ready-to-heat",297.0,5.8,45.7,10.1,sr_legacy
167525,"Tostada shells, corn",474.0,6.2,64.4,23.4,sr_legacy
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",374.0,7.1,47.8,17.1,sr_legacy
167527,"Bread, pound cake type, pan de torta salvadoran",390.0,7.1,51.3,17.4,sr_legacy
167528,"Pastry, Pastelitos de Guava (guava pastries)",379.0,5.5,47.8,18.5,sr_legacy
167529,"Crackers, snack, Goya Crackers",433.0,14.3,64.3,13.3,sr_legacy
167530,"Crackers, cream, Gamesa Sabrosas",484.0,7.0,64.5,20.4,sr_legacy
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",464.0,7.2,64.9,19.5,sr_legacy
167532,"Bread, white wheat",238.0,10.7,43.9,2.1,sr_legacy
167533,"Bagels, wheat",250.0,10.2,48.9,1.5,sr_legacy
167534,"Cream puff, eclair, custard or cream filled, iced",334.0,4.4,37.4,18.5,sr_legacy
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",297.0,8.0,49.3,7.6,sr_legacy
167536,"Snacks, beef jerky, chopped and formed",410.0,33.2,11.0,25.6,sr_legacy
167537,"Snacks, corn-based, extruded, chips, plain",539.0,6.2,57.3,33.4,sr_legacy
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",523.0,7.0,56.2,32.7,sr_legacy
167539,"Snacks, corn-based, extruded, cones, plain",510.0,5.8,62.9,26.9,sr_legacy
167540,"Snacks, fruit leather, pieces",359.0,1.0,82.8,2.7,sr_legacy
167541,"Snacks, fruit leather, rolls",371.0,0.1,85.8,3.0,sr_legacy
167542,"Snacks, granola bars, hard, plain",471.0,10.1,64.4,19.8,sr_legacy
167543,"Snacks, granola bars, hard, almond",495.0,7.7,62.0,25.5,sr_legacy
167544,"Snacks, granola bars, soft, uncoated, raisin",448.0,7.6,66.4,17.8,sr_legacy
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",466.0,5.8,63.8,24.9,sr_legacy
167546,"Candies, honey-combed, with peanut butter",473.0,8.7,67.4,20.2,sr_legacy
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",508.0,10.2,53.4,31.1,sr_legacy
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",432.0,9.8,62.2,20.0,sr_legacy
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",583.0,7.3,45.1,43.5,sr_legacy
167550,"Snacks, popcorn, cakes",384.0,9.7,80.1,3.1,sr_legacy
167551,"Snacks, popcorn, caramel-coated, with peanuts",400.0,6.4,80.7,7.8,sr_legacy
