file_name,file_type,rows,size_bytes
README_patch_vi.txt,txt,,1585
bilingual_glossary_terms.csv,csv,83,5086
cardio_prescriptions.csv,csv,12,2154
corrected_response_pairs.csv,csv,8,2365
gym_rag_patch_master_dataset.csv,csv,346,128146
inbody_interpretation_rules.csv,csv,24,3380
intent_policies.csv,csv,12,1935
manifest_patch.csv,csv,17,673
meal_plan_templates_structured.csv,csv,15,2756
nutrition_rules.csv,csv,6,1177
rag_eval_queries.csv,csv,200,28501
response_exemplar_pairs.csv,csv,120,56144
response_style_rules.csv,csv,8,739
router_prompt_intent.txt,txt,,879
safety_rules.csv,csv,10,1411
system_prompt_bilingual_vi_en.txt,txt,,1735
user_profile_fields.csv,csv,20,1342
workout_day_details.csv,csv,65,10149
workout_split_templates.csv,csv,7,843
